Tijdstempel,Achternaam Kind,Voornaam Kind,Groep,Aanwezigheid van het kind [Woensdag],Aanwezigheid van het kind [Donderdag],Aanwezigheid van het kind [Vrijdag],Aanwezigheid van het kind [Zaterdag],"Geef hier eventuele allergieën of dieetwensen (bijv. vegetarisch, veganistisch) van je kind aan:",Opmerkingen:,Dit is mijn eerste NTC zomerkamp,Ik blijf slapen op het kamp:,Opmerkingen overnachten:,Mijn beschikbaarheid als hulpouder is: [07:00 - 07:30],Mijn beschikbaarheid als hulpouder is: [07:30 - 09:00],Mijn beschikbaarheid als hulpouder is: [09:00 - 13:00],Mijn beschikbaarheid als hulpouder is: [13:00 - 15:30],Mijn beschikbaarheid als hulpouder is: [15:30 - 18:00],Mijn beschikbaarheid als hulpouder is: [18:00 - 21:00],Opmerkingen beschikbaarheid:,Heb je een auto beschikbaar (om bijvoorbeeld leerkrachten van het station op te halen),Eventuele voedselallergieën Ouder:,Naam Ouder,E-mail Ouder,Telefoonnummer Ouder,Chat apps,Klassenfoto,Foto's en video's tijdens het zomerkamp.,Opmerkingen foto's en video's,E-mailadres,Opmerkingen chat apps
2026-05-07 12:38:36.856000,van Vermandois,Eline,Groep 7,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,,,Nee,Ik blijf niet slapen,,,,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag",,,,Nee,Ik neem mijn eigen lunch mee.,Jelle van Gorp,jelle@ntc.fi,045 00000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-07 12:42:33.457000,van Vermandois,Faas,Groep 5,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,"Erwt (eiwit) -- niet ernstig, maar bijvoorbeeld liever geen vegane vleesvervangers waar dit inzit.",,,,,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-07 17:11:46.641000,de Gratie,Jolie,Groep 3a,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,Ja,,,,0449000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-07 17:13:12.972000,de Gratie,Mika,Groep 6,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,Ja,,Mika,mika@ntc.fi,0449000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-07 20:55:33.025000,Scholten,Floortje,Groep 8,,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,Ik blijf niet slapen,,,,,,,,,Ja,,Tygo,tygo@ntc.fi,0449000000,Ik gebruik liever Signal,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-08 09:31:04.659000,Weylant,Stef,Groep 2,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",Lactosevrij,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,Nora,nora@ntc.fi,0456000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-08 09:31:45.880000,Weylant,Benjamin,Groep 3b,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,Ik blijf niet slapen,,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-08 12:22:07.829000,Sire,Feline,Groep 1,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag",,,,Ja,Glutenvrij en lactosevrij (maar ga er niet dood van),Juliette,juliette@ntc.fi,0503000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-08 12:22:57.231000,Sire,Melle,Groep 3b,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen",,,,,,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-08 18:24:43.437000,van Lucel,Imke,Groep 1,,,,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten",,,Ja,Ik blijf niet slapen,,,,,,,,,,,Maja Koning,maja@ntc.fi,0404000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-09 09:58:45.386000,Zaal,Mats,Groep 8,,,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",Aanwezig tijdens de lessen,,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,Dana Wever,dana@ntc.fi,,Ik gebruik liever Signal,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-09 10:20:02.306000,Mol,Ninthe,Groep 3a,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,,,Nee,Ik blijf niet slapen,,,,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag, Zaterdag",,,,Nee,,Michael Vignon,michael@ntc.fi,,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-09 10:51:58.297000,Claesdr,Cornelia,Groep 3a,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Wij komen al op dinsdagavond, Woensdagavond, Donderdagavond, Vrijdagavond",,"Donderdag, Vrijdag","Donderdag, Vrijdag","Donderdag, Vrijdag","Donderdag, Vrijdag","Donderdag, Vrijdag","Donderdag, Vrijdag",,Ja,,Suze,suze@ntc.fi,40620000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-09 12:39:20.867000,"Bourgondië, van",Linde,Groep 3a,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag, Zaterdag",,,,Nee,,Sil Smits,sil@ntc.fi,0449000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-09 18:52:42.552000,van Holland,Bilal,Groep 2,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen",,,Nee,"Wij komen al op dinsdagavond, Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,,,Olivia,olivia@ntc.fi,0449000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-09 21:34:54.303000,Mol,Aaron,Groep 3a,,,,Aanwezig tijdens de lessen,nvt,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,Bibi,bibi@ntc.fi,0449000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-09 21:36:05.327000,Mol,Vigo,Groep 1,,,,Aanwezig tijdens de lessen,,,Ja,Ik blijf niet slapen,,,,,,,,,Nee,,Bibi,bibi@ntc.fi,0449000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-09 21:54:58.917000,Huisman,Julie,Groep 7,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,Vrijdag,"Woensdag, Donderdag, Vrijdag",,,,Selena Tammerijn,selena@ntc.fi,0504000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-10 10:04:08.211000,Dubois,Britt,Groep 8,,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,,Ja,Donderdagavond,,Vrijdag,Vrijdag,"Donderdag, Vrijdag","Donderdag, Vrijdag",Donderdag,Donderdag,,Nee,,Suze Unruoch Hunerik,suze@ntc.fi,0451000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-10 10:05:29.384000,Dubois,Tijmen,Groep 6,,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,,Ja,Donderdagavond,,Vrijdag,Vrijdag,"Donderdag, Vrijdag","Donderdag, Vrijdag",Donderdag,Donderdag,,Nee,,Suze Unruoch Hunerik,suze@ntc.fi,0451000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-10 10:07:36.191000,Dubois,Benthe,Groep 4,,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,,Ja,Donderdagavond,,Vrijdag,Vrijdag,"Donderdag, Vrijdag","Donderdag, Vrijdag",Donderdag,Donderdag,,Nee,,Suze Unruoch Hunerik,suze@ntc.fi,0451000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-10 10:08:59.445000,Dubois,Linde,Groep 3a,,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,,Ja,Donderdagavond,,Vrijdag,Vrijdag,"Donderdag, Vrijdag","Donderdag, Vrijdag",Donderdag,Donderdag,,Nee,,Suze Unruoch Hunerik,suze@ntc.fi,0451000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-10 11:13:01.725000,van Laarhoven,Dave,Groep 2,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten",,,,Nee,Ik blijf niet slapen,,,,,Vrijdag,Vrijdag,,,Ja,,Jaylinn van Goerle,jaylinn@ntc.fi,+458000000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-10 13:03:10.166000,van Wickerode,Giel,Groep 2,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,Ik blijf niet slapen,,,,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag, Zaterdag",,,,Nee,,Lukas Sas,lukas@ntc.fi,0458000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-11 10:00:30.461000,Alpaidis,Carlijn,Groep 5,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen",,,Nee,Wij komen al op dinsdagavond,,,,,,,,,Nee,Vegetarier,Arie van Ghoerle,arie@ntc.fi,0451000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-13 16:13:30.014000,van den Velden,Julie,Groep 4,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",Paprika,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag",,,Nee,,Dani de Swart,dani@ntc.fi,0456000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-13 21:01:51.148000,Molenaar,Dean,Groep 4,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen",Geen allergiën!,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag","Woensdag, Donderdag, Vrijdag",Vrijdag,,Ja,Geen allergiën!,Elizabeth,elizabeth@ntc.fi,040-0000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-13 21:03:01.239000,de Jonge,Joëlle,Groep 1,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten",Geen,,Ja,Vrijdagavond,,,,,,,,,Ja,,Sterre,sterre@ntc.fi,0404000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-13 21:45:30.826000,Kleybrink,Bryan,Groep 2,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen",-,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,-,Valentijn,valentijn@ntc.fi,04570000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-16 17:56:14.674000,de Man,Britt,Groep 5,,,,,,,,,,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
